model_checkpoint,contains_matrix_aux_retrieval_head,matching_heads,n_matching_heads,ood_accuracy
question_D_hier90_linear10_two_phase_200k_seed69_12682897__checkpoint_300000,True,"((0, 5), (0, 6), (2, 2), (2, 4))",4,0.92774644850961
question_D_hier90_linear10_two_phase_200k_seed70_12682957__checkpoint_300000,True,"((1, 6), (1, 7), (2, 1), (2, 5))",4,0.7907602681130489
question_D_hier90_linear10_two_phase_200k_seed71_12683480__checkpoint_300000,True,"((1, 3), (2, 0), (2, 5))",3,0.00262781341225704
question_D_hier90_linear10_two_phase_200k_seed72_12683542__checkpoint_300000,False,(),0,1.50023906396e-05
question_D_hier90_linear10_two_phase_200k_seed73_12683559__checkpoint_300000,True,"((2, 6),)",1,0.9628345688072474
question_D_hier90_linear10_two_phase_200k_seed74_12696556__checkpoint_300000,True,"((0, 0), (2, 6))",2,0.08291463896463691
question_D_hier90_linear10_two_phase_200k_seed75_12696693__checkpoint_300000,False,(),0,0.0025132871173921007
question_D_hier90_linear10_two_phase_200k_seed76_12696748__checkpoint_300000,False,(),0,0.5563328569497756
question_D_hier90_linear10_two_phase_200k_seed77_12696787__checkpoint_300000,True,"((2, 2),)",1,0.8498437513692714
question_D_hier90_linear10_two_phase_200k_seed78_12696800__checkpoint_300000,True,"((1, 4), (1, 5))",2,0.9631471789223284
question_D_hier90_linear10_two_phase_200k_seed79_12696813__checkpoint_300000,True,"((2, 1),)",1,0.7031322224982686
question_D_hier90_linear10_two_phase_200k_seed80_12696826__checkpoint_300000,False,(),0,0.999855662225
question_D_hier90_linear10_two_phase_200k_seed81_12596471__checkpoint_300000,True,"((2, 6),)",1,0.9595545514769946
question_D_hier90_linear10_two_phase_200k_seed82_13749499__checkpoint_300000,True,"((1, 6), (2, 7))",2,0.7541499138132673
question_D_hier90_linear10_two_phase_200k_seed83_13750234__checkpoint_300000,True,"((1, 4), (2, 7))",2,0.6281867956468631
question_D_hier90_linear10_two_phase_200k_seed84_13750317__checkpoint_300000,True,"((1, 6), (2, 2), (2, 3))",3,0.5754348421141045
question_D_hier90_linear10_two_phase_200k_seed85_13750997__checkpoint_300000,True,"((1, 3), (2, 6))",2,0.6520312375392562
question_D_hier90_linear10_two_phase_200k_seed86_13751077__checkpoint_300000,True,"((0, 0), (2, 2), (2, 4))",3,0.6704301586611646
question_D_hier90_linear10_two_phase_200k_seed87_13751362__checkpoint_300000,False,(),0,0.01595993411031135
question_D_hier90_linear10_two_phase_200k_seed88_14895416__checkpoint_300000,True,"((1, 3), (2, 2))",2,0.31448377302877145
question_D_hier90_linear10_two_phase_200k_seed89_13760078__checkpoint_300000,False,(),0,0.996201611140831
question_D_hier90_linear10_two_phase_200k_seed90_13770938__checkpoint_300000,True,"((2, 0), (2, 1), (2, 2))",3,0.7462324151013906
question_D_hier90_linear10_two_phase_200k_seed91_13771414__checkpoint_300000,True,"((1, 4), (2, 6))",2,0.9206985642841
question_D_hier90_linear10_two_phase_200k_seed92_13772014__checkpoint_300000,True,"((2, 0),)",1,0.8982566613727693
question_D_hier90_linear10_two_phase_200k_seed93_13772029__checkpoint_300000,True,"((2, 6),)",1,0.999981545122
question_D_hier90_linear10_two_phase_200k_seed94_13772162__checkpoint_300000,True,"((2, 0), (2, 4))",2,0.9768723060214527
question_D_hier90_linear10_two_phase_200k_seed95_13772359__checkpoint_300000,True,"((0, 3), (2, 5))",2,0.5334267890913108
question_D_hier90_linear10_two_phase_200k_seed96_13777368__checkpoint_300000,True,"((2, 3), (2, 5), (2, 6), (2, 7))",4,0.9948726346291378
question_D_hier90_linear10_two_phase_200k_seed97_14895579__checkpoint_300000,True,"((2, 2),)",1,0.000105659801793068
question_D_hier90_linear10_two_phase_200k_seed98_13783525__checkpoint_300000,True,"((2, 0), (2, 4), (2, 6), (2, 7))",4,0.7537150618060711
question_D_hier90_linear10_two_phase_200k_seed99_13787259__checkpoint_300000,True,"((2, 0),)",1,0.8715825972239684
