model_checkpoint,contains,layer,head,ood_base,id_base,ood_uniform,ood_mean,id_uniform,id_mean
question_D_hier90_linear10_two_phase_200k_seed45_12625512__checkpoint_300000,True,2,1,0.9999788403511047,1.0,0.9999735355377197,0.9999755024909973,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed45_12625512__checkpoint_300000,True,2,7,0.9999788403511047,1.0,0.9999735951423645,0.9999740123748779,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed46_12625513__checkpoint_300000,True,2,3,0.7132455110549927,1.0,0.7199140787124634,0.7134809494018555,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed47_12625804__checkpoint_300000,True,1,1,0.8892817497253418,1.0,0.8847649693489075,0.8839595913887024,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed47_12625804__checkpoint_300000,True,2,1,0.8892817497253418,1.0,0.8791146278381348,0.8789117932319641,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed47_12625804__checkpoint_300000,True,2,2,0.8892817497253418,1.0,0.9000043869018555,0.8845844864845276,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed48_12625805__checkpoint_300000,True,2,5,0.08583392202854156,1.0,0.10514713823795319,0.09895362704992294,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed49_12625806__checkpoint_300000,True,2,4,0.9999806880950928,1.0,0.999980092048645,0.9999806880950928,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed50_12625807__checkpoint_300000,True,2,1,3.5219356504967436e-05,1.0,3.6005159927299246e-05,4.02972218580544e-05,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed50_12625807__checkpoint_300000,True,2,3,3.5219356504967436e-05,1.0,2.7396690711611882e-05,3.0006662200321443e-05,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed51_12628746__checkpoint_300000,True,0,5,0.902880847454071,1.0,0.9071274399757385,0.9037173986434937,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed51_12628746__checkpoint_300000,True,2,3,0.902880847454071,1.0,0.8975928425788879,0.9174260497093201,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed51_12628746__checkpoint_300000,True,2,6,0.902880847454071,1.0,0.9050625562667847,0.9108198285102844,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed52_12628803__checkpoint_300000,True,2,6,0.9924734830856323,1.0,0.9813079833984375,0.9924453496932983,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed52_12628803__checkpoint_300000,True,2,7,0.9924734830856323,1.0,0.9901314973831177,0.9899886250495911,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed53_12629366__checkpoint_300000,True,2,0,0.9990224838256836,1.0,0.9988188743591309,0.9974523782730103,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed54_12629502__checkpoint_300000,True,1,3,0.9592426419258118,1.0,0.9572239518165588,0.9600619077682495,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed54_12629502__checkpoint_300000,True,2,7,0.9592426419258118,1.0,0.9585018754005432,0.9613420367240906,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed55_12629681__checkpoint_300000,True,1,2,0.9537481069564819,1.0,0.9608712196350098,0.9638749361038208,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed55_12629681__checkpoint_300000,True,2,0,0.9537481069564819,1.0,0.9639476537704468,0.9631133079528809,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed57_12630034__checkpoint_300000,True,2,7,0.8642238974571228,1.0,0.8399597406387329,0.8477297425270081,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed58_12682784__checkpoint_300000,True,2,4,0.6539172530174255,1.0,0.6589494943618774,0.6505028605461121,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed60_12682786__checkpoint_300000,True,0,6,0.9999839067459106,1.0,0.9999840259552002,0.9999839663505554,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed61_12682787__checkpoint_300000,True,2,4,0.44487375020980835,1.0,0.506879985332489,0.4699665904045105,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed62_12682788__checkpoint_300000,True,2,5,0.9755325317382812,1.0,0.9757692217826843,0.9782000780105591,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed65_12682807__checkpoint_300000,True,2,1,0.9688538908958435,1.0,0.9056404829025269,0.9377915263175964,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed67_12682822__checkpoint_300000,True,2,5,0.0018686013063415885,1.0,0.0012472813250496984,0.0017197568668052554,1.0,1.0
