id,n_layer,n_head,wd,ood_acc,ood_acc_mean_ablated,delta_mean,delta_uniform,csv_ood_acc,sign,viol,head_type
0nbysgqs,2,2,0.01,0.934,0.936,0.0020000000000000018,0.0020000000000000018,0.934,True,False,sign-matching
qtda56zd,2,2,0.001,0.665,0.813,0.1479999999999999,0.127,0.665,True,False,sign-matching
75r56wa2,2,2,0.0,0.722,0.772,0.050000000000000044,0.03200000000000003,0.722,True,False,sign-matching
qw2o217v,2,2,0.01,0.922,0.935,0.013000000000000012,0.013000000000000012,0.922,True,False,sign-matching
x6lq45m3,2,2,0.001,0.922,0.809,-0.11299999999999999,-0.127,0.922,False,True,violation-detecting
a86vffjw,2,2,0.0,0.982,0.511,-0.471,-0.487,0.982,False,True,violation-detecting
czdnaqqk,2,2,0.01,0.881,0.905,0.02400000000000002,0.02400000000000002,0.881,True,False,sign-matching
8dr77y3h,2,2,0.001,0.848,0.815,-0.03300000000000003,-0.040999999999999925,0.848,False,False,neither
5bbgxqan,2,2,0.0,0.749,0.547,-0.20199999999999996,-0.21199999999999997,0.749,False,True,violation-detecting
61ea7zvm,2,2,0.01,0.867,0.919,0.052000000000000046,0.05300000000000005,0.867,True,False,sign-matching
won4h79j,2,2,0.001,0.675,0.823,0.1479999999999999,0.17299999999999993,0.675,False,False,neither
3zr6osaf,2,2,0.0,0.668,0.508,-0.16000000000000003,-0.18700000000000006,0.668,False,True,violation-detecting
ts6m8wj0,2,2,0.01,0.908,0.955,0.04699999999999993,0.04499999999999993,0.908,True,False,sign-matching
we9o801g,2,2,0.001,0.707,0.811,0.10400000000000009,0.09100000000000008,0.707,True,False,sign-matching
91yzhosm,2,2,0.0,0.638,0.582,-0.05600000000000005,-0.05800000000000005,0.638,False,True,violation-detecting
tf99oreg,2,2,0.01,0.911,0.985,0.07399999999999995,0.07699999999999996,0.911,True,False,sign-matching
ttjh3vyo,2,2,0.001,0.741,0.918,0.17700000000000005,0.18300000000000005,0.741,True,False,sign-matching
iuxnmfew,2,2,0.0,0.701,0.638,-0.06299999999999994,-0.07999999999999996,0.701,False,False,neither
ubc2kvie,3,2,0.01,0.813,0.814,0.0010000000000000009,0.0010000000000000009,0.813,False,False,neither
e7pup9s2,3,2,0.001,0.368,0.368,0.0,0.0,0.368,False,False,neither
rzgtqqu0,3,2,0.0,0.616,0.643,0.027000000000000024,0.027000000000000024,0.616,False,False,neither
u700utjy,3,2,0.01,0.79,0.79,0.0,0.0,0.79,False,False,neither
n066ckp6,3,2,0.001,0.394,0.392,-0.0020000000000000018,-0.0020000000000000018,0.394,False,False,neither
h7j3baia,3,2,0.0,0.871,0.545,-0.32599999999999996,-0.32699999999999996,0.871,False,True,violation-detecting
