id,n_layer,n_head,wd,layer,head,ood_acc,ood_acc_single_mean,delta_mean_single,delta_uniform_single,csv_ood_acc,sign_score,viol_score,head_type
1aez5d6p,2,2,0.001,1,1,0.779,0.78,0.0010000000000000009,0.0010000000000000009,0.779,0.0,0.0,neither
1aez5d6p,2,2,0.001,1,2,0.779,0.78,0.0010000000000000009,0.0010000000000000009,0.779,0.0,0.002,neither
1aez5d6p,2,2,0.001,2,1,0.779,0.779,0.0,0.0,0.779,0.0,0.0,neither
1aez5d6p,2,2,0.001,2,2,0.779,0.827,0.04799999999999993,0.04399999999999993,0.779,0.9570000171661376,0.042,sign-matching
oztpx1dr,2,2,0.0,1,1,0.574,0.631,0.05700000000000005,0.052000000000000046,0.574,0.0,0.012,neither
oztpx1dr,2,2,0.0,1,2,0.574,0.605,0.031000000000000028,0.029000000000000026,0.574,0.0,0.004,neither
oztpx1dr,2,2,0.0,2,1,0.574,0.445,-0.12899999999999995,-0.12699999999999995,0.574,0.0299999993294477,0.021,neither
oztpx1dr,2,2,0.0,2,2,0.574,0.478,-0.09599999999999997,-0.08999999999999997,0.574,0.0260000005364418,0.022,neither
50h5xlod,2,2,0.01,1,1,0.899,0.899,0.0,0.0,0.899,0.0049999998882412,0.0,neither
50h5xlod,2,2,0.01,1,2,0.899,0.899,0.0,0.0,0.899,0.0,0.0,neither
50h5xlod,2,2,0.01,2,1,0.899,0.927,0.028000000000000025,0.029000000000000026,0.899,1.0,0.0,sign-matching
50h5xlod,2,2,0.01,2,2,0.899,0.899,0.0,0.0,0.899,0.0,0.0,neither
qzndq9pi,2,2,0.001,1,1,0.771,0.771,0.0,0.0,0.771,0.0040000001899898,0.0,neither
qzndq9pi,2,2,0.001,1,2,0.771,0.771,0.0,0.0,0.771,0.0040000001899898,0.0,neither
qzndq9pi,2,2,0.001,2,1,0.771,0.837,0.06599999999999995,0.051999999999999935,0.771,0.8240000009536743,0.158,sign-matching
qzndq9pi,2,2,0.001,2,2,0.771,0.771,0.0,0.0,0.771,0.0,0.0,neither
hcagncwq,2,2,0.0,1,1,0.929,0.929,0.0,0.0,0.929,0.006000000052154,0.016,neither
hcagncwq,2,2,0.0,1,2,0.929,0.929,0.0,0.0,0.929,0.0080000003799796,0.011,neither
hcagncwq,2,2,0.0,2,1,0.929,0.929,0.0,0.0,0.929,0.3019999861717224,0.043,neither
hcagncwq,2,2,0.0,2,2,0.929,0.604,-0.32500000000000007,-0.3490000000000001,0.929,0.0,0.266,neither
cojliiss,2,2,0.01,1,1,0.966,0.966,0.0,0.0,0.966,0.0010000000474974,0.0,neither
cojliiss,2,2,0.01,1,2,0.966,0.966,0.0,0.0,0.966,0.0010000000474974,0.0,neither
cojliiss,2,2,0.01,2,1,0.966,0.966,0.0,0.0,0.966,0.0,0.0,neither
cojliiss,2,2,0.01,2,2,0.966,0.966,0.0,0.0,0.966,0.0,0.0,neither
8a65u5l6,2,2,0.001,1,1,0.739,0.739,0.0,0.0,0.739,0.0089999996125698,0.0,neither
8a65u5l6,2,2,0.001,1,2,0.739,0.739,0.0,0.0,0.739,0.0099999997764825,0.0,neither
8a65u5l6,2,2,0.001,2,1,0.739,0.821,0.08199999999999996,0.08799999999999997,0.739,0.9890000224113464,0.011,sign-matching
8a65u5l6,2,2,0.001,2,2,0.739,0.739,0.0,0.0,0.739,0.0,0.0,neither
2uzl6lk7,2,2,0.0,1,1,0.859,0.953,0.09399999999999997,0.09499999999999997,0.859,0.0209999997168779,0.0,neither
2uzl6lk7,2,2,0.0,1,2,0.859,0.954,0.09499999999999997,0.09499999999999997,0.859,0.0299999993294477,0.0,neither
2uzl6lk7,2,2,0.0,2,1,0.859,0.87,0.01100000000000001,0.0040000000000000036,0.859,0.4300000071525574,0.178,neither
2uzl6lk7,2,2,0.0,2,2,0.859,0.82,-0.039000000000000035,-0.04500000000000004,0.859,0.096000000834465,0.537,neither
7c5f2auc,2,2,0.01,1,1,0.944,0.944,0.0,0.0,0.944,0.0020000000949949,0.0,neither
7c5f2auc,2,2,0.01,1,2,0.944,0.944,0.0,0.0,0.944,0.0020000000949949,0.0,neither
7c5f2auc,2,2,0.01,2,1,0.944,0.961,0.017000000000000015,0.018000000000000016,0.944,1.0,0.0,sign-matching
